Application_Domain,Application_Name,Project_Id,BRD_Req_ID,Req_Description,TC_ID,Test_case_summary,Test_case_description,TC_ID_Step,Test_Steps,Expected_results,Fun_ID,Impact_Fucntionality,Impacted_Component,Component_ID,DataSourceId,Impact_Table,Impact_Column,Precondition_Fucntionality,Precondition_Table,Precondition_Column,Keywords,Test_Data,TD_ID
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC1,Successful Employee login to OrangeHRM portal,validate if the user is able to enter the Orange HRM system with a successful ESS-User account ,BRD_01/OHRM_1.11_TC1_1,"In the login Panel, enter the username ",The user is logged in successfully. ,BRD_01/OHRM_1.11_F1,Login credentilas,component-6,1006,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,"Username,Password",1022
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC1,Successful Employee login to OrangeHRM portal,validate if the user is able to enter the Orange HRM system with a successful ESS-User account ,BRD_01/OHRM_1.11_TC1_2, Enter the Password for the ESS-User account in the password field,The user is logged in successfully. ,BRD_01/OHRM_1.11_F1,Login credentilas,component-4,1001,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,Zipcode,1004
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC1,Successful Employee login to OrangeHRM portal,validate if the user is able to enter the Orange HRM system with a successful ESS-User account ,BRD_01/OHRM_1.11_TC1_3,"Click ""Login"" button",The user is logged in successfully. ,BRD_01/OHRM_1.11_F1,Login credentilas,component-1,1008,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,None,
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC1,Successful Employee login to OrangeHRM portal,validate if the user is able to enter the Orange HRM system with a successful ESS-User account ,BRD_01/OHRM_1.11_TC1_4," In the login Panel, enter the username ",An Error message is displayed and the user is not logged in to the Orange HRM portal. ,BRD_01/OHRM_1.11_F1,Login credentilas,component-5,1005,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,DOB,1007
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC1,Successful Employee login to OrangeHRM portal,validate if the user is able to enter the Orange HRM system with a successful ESS-User account ,BRD_01/OHRM_1.11_TC1_5,Enter the Password for the ESS-User account in the password field,An Error message is displayed and the user is not logged in to the Orange HRM portal. ,BRD_01/OHRM_1.11_F1,Login credentilas,component-2,1007,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,None,
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC1,Successful Employee login to OrangeHRM portal,validate if the user is able to enter the Orange HRM system with a successful ESS-User account ,BRD_01/OHRM_1.11_TC1_6,"Click ""Login"" button",An Error message is displayed and the user is not logged in to the Orange HRM portal. ,BRD_01/OHRM_1.11_F1,Login credentilas,component-9,1003,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,None,
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC2,First time user login-information,validate if the user is logging in  first time,BRD_01/OHRM_1.11_TC2_1,"In the login Panel, enter the username ",The user is logged in successfully. ,BRD_01/OHRM_1.11_F1,Login credentilas,component-1,1008,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,None,
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC2,First time user login-information,validate if the user is logging in  first time,BRD_01/OHRM_1.11_TC2_2, Enter the Password for the ESS-User account in the password field,The user is logged in successfully. ,BRD_01/OHRM_1.11_F1,Login credentilas,component-1,1008,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,Member_ID,1023
Member,Omni,p12345,BRD_01/OHRM_1.11,Login OrangeHRM Portal,BRD_01/OHRM_1.11_TC2,First time user login-information,validate if the user is logging in  first time,BRD_01/OHRM_1.11_TC2_3,"Click ""Login"" button",The user is logged in successfully and the personal information page is displayed,BRD_01/OHRM_1.11_F1,Login credentilas,component-2,1007,1014,Account,"Username,Password","A valid ESS-User account to login to be available, Orange HRM 3.0 site is launched on a compatible browser",,,,Member_ID,1023
Member,Omni,p12345,BRD_02/PS_OS1.18,Registration and Account Login,BRD_02/PS_OS1.18_TC11,Registration and Account Login,Enter  email and password and press “Register” button.,BRD_02/PS_OS1.18_TC11_2,Validate if  email is already registered,Warning message displayed to indicate email address is already registered.,BRD_02/PS_OS1.18_F1,Registration and Account Login,component-8,1009,1040,Account,"Email_ID,Registered",Registration and Account Login,,,,"Email_ID,Registered",1043
